location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,,,
United Arab Emirates,10/12/2021,,,,,,36433,,,,,3647,12707,0.127,,,
United Arab Emirates,10/13/2021,20552839,9474818,8475907,2602114,,33203,205.71,94.83,84.83,26.04,3323,12716,0.127,,,
United Arab Emirates,10/14/2021,20588026,9484972,8486033,2617021,35187,31898,206.06,94.93,84.94,26.19,3193,11288,0.113,,,
United Arab Emirates,10/15/2021,20619734,9494889,8505838,2619007,31708,30087,206.38,95.03,85.13,26.21,3011,11299,0.113,,,
United Arab Emirates,10/16/2021,20661005,,,,41271,29587,206.79,,,,2961,9919,0.099,,,
United Arab Emirates,10/17/2021,20676621,9514450,8525422,2636749,15616,28201,206.95,95.23,85.33,26.39,2823,9864,0.099,,,
United Arab Emirates,10/18/2021,20699820,9524548,8535498,2639774,23199,28009,207.18,95.33,85.43,26.42,2803,9906,0.099,,,
United Arab Emirates,10/19/2021,20740855,9544097,8555071,2641687,41035,30366,207.59,95.53,85.63,26.44,3039,11298,0.113,,,
United Arab Emirates,10/20/2021,20776261,9554350,8565287,2656624,35406,31917,207.95,95.63,85.73,26.59,3195,11362,0.114,,,
United Arab Emirates,10/21/2021,20798877,9564180,8575123,2659574,22616,30122,208.17,95.73,85.83,26.62,3015,11315,0.113,,,
United Arab Emirates,10/22/2021,,,,,,30082,,,,,3011,10823,0.108,,,
United Arab Emirates,10/23/2021,20861737,,,,,28676,208.8,,,,2870,10350,0.104,,,
United Arab Emirates,10/24/2021,20875213,9583589,8594571,2697053,13476,28370,208.94,95.92,86.02,26.99,2840,9877,0.099,,,
United Arab Emirates,10/25/2021,20895739,9593822,,,20526,27988,209.14,96.02,,,2801,9896,0.099,,,
United Arab Emirates,10/26/2021,20940231,9613596,8604761,2721874,44492,28482,209.59,96.22,86.12,27.24,2851,9928,0.099,,,
United Arab Emirates,10/27/2021,20973866,9623489,8614655,2735722,33635,28229,209.93,96.32,86.22,27.38,2825,9877,0.099,,,
United Arab Emirates,10/28/2021,21014342,9633345,8634405,2746592,40476,30781,210.33,96.42,86.42,27.49,3081,9881,0.099,,,
United Arab Emirates,10/29/2021,21051277,9642939,8644029,2764309,36935,31567,210.7,96.52,86.52,27.67,3160,10327,0.103,,,
United Arab Emirates,10/30/2021,21075235,9652930,8654010,2768295,23958,30500,210.94,96.62,86.62,27.71,3053,10830,0.108,,,
United Arab Emirates,10/31/2021,21124819,,8673845,,49584,35658,211.44,,86.82,,3569,11320,0.113,,,
United Arab Emirates,11/1/2021,21147481,9672732,8683700,2791049,22662,35963,211.66,96.81,86.91,27.94,3600,11273,0.113,,,
United Arab Emirates,11/2/2021,21173972,9682525,8693503,2797944,26491,33392,211.93,96.91,87.01,28,3342,9847,0.099,,,
United Arab Emirates,11/3/2021,21219066,9702575,8703635,2812856,45094,35029,212.38,97.11,87.11,28.15,3506,11298,0.113,,,
United Arab Emirates,11/4/2021,21248655,9712427,8713491,2822737,29589,33473,212.68,97.21,87.21,28.25,3350,11297,0.113,,,
United Arab Emirates,11/5/2021,21275030,9722167,8723247,2829616,26375,31965,212.94,97.31,87.31,28.32,3199,11318,0.113,,,
United Arab Emirates,11/6/2021,21298068,9732190,8733256,2832622,23038,31833,213.17,97.41,87.41,28.35,3186,11323,0.113,,,
United Arab Emirates,11/7/2021,21326489,9741962,8743040,2841487,28421,28810,213.46,97.51,87.51,28.44,2884,11304,0.113,,,
United Arab Emirates,11/8/2021,21348200,9751830,8752910,2843460,21711,28674,213.67,97.61,87.61,28.46,2870,11300,0.113,,,
United Arab Emirates,11/9/2021,21377226,9761878,8762942,2852406,29026,29036,213.96,97.71,87.71,28.55,2906,11336,0.113,,,
United Arab Emirates,11/10/2021,21404200,9771891,8772943,2859366,26974,26448,214.23,97.81,87.81,28.62,2647,9902,0.099,,,
United Arab Emirates,11/11/2021,21434487,9781611,8782680,2870196,30287,26547,214.54,97.9,87.91,28.73,2657,9883,0.099,,,
United Arab Emirates,11/12/2021,21477305,9781743,8812470,2883092,42818,28896,214.96,97.9,88.2,28.86,2892,8511,0.085,,,
United Arab Emirates,11/13/2021,,,,,,28997,,,,,2902,8021,0.08,,,
United Arab Emirates,11/14/2021,,,,,,28328,,,,,2835,7567,0.076,,,
United Arab Emirates,11/15/2021,21548528,9801529,8832256,2914743,,28618,215.68,98.1,88.4,29.17,2864,7100,0.071,,,
United Arab Emirates,11/16/2021,21576549,9815190,8843957,2917402,28021,28475,215.96,98.24,88.52,29.2,2850,7616,0.076,,,
United Arab Emirates,11/17/2021,21595116,9822113,8850880,2922123,18567,27274,216.14,98.31,88.59,29.25,2730,7175,0.072,,,
United Arab Emirates,11/18/2021,21620951,9831015,8858793,2931143,25835,26638,216.4,98.4,88.67,29.34,2666,7058,0.071,,,
United Arab Emirates,11/19/2021,21639754,9837938,8866705,2935111,18803,23207,216.59,98.47,88.75,29.38,2323,8028,0.08,,,
United Arab Emirates,11/20/2021,21666681,9846839,8876595,2943247,26927,23662,216.86,98.56,88.85,29.46,2368,8357,0.084,,,
United Arab Emirates,11/21/2021,21680090,9852774,8881540,2945776,13409,22186,216.99,98.62,88.89,29.48,2221,8263,0.083,,,
United Arab Emirates,11/22/2021,21696454,9856730,8886486,2953238,16364,21132,217.16,98.66,88.94,29.56,2115,7886,0.079,,,
United Arab Emirates,11/23/2021,21733013,9872554,8903299,2957160,36559,22352,217.52,98.81,89.11,29.6,2237,8195,0.082,,,
United Arab Emirates,11/24/2021,21743455,9876510,8908244,2958701,10442,21191,217.63,98.85,89.16,29.61,2121,7771,0.078,,,
United Arab Emirates,11/25/2021,21757061,9881456,8914179,2961426,13606,19444,217.76,98.9,89.22,29.64,1946,7206,0.072,,,
United Arab Emirates,11/26/2021,21776755,,8919124,2967274,19694,19572,217.96,,89.27,29.7,1959,6243,0.062,,,
United Arab Emirates,11/27/2021,21792618,,8926047,2976214,15863,17991,218.12,,89.34,29.79,1801,4998,0.05,,,
United Arab Emirates,11/28/2021,21809826,,8931981,2987488,17208,18534,218.29,,89.4,29.9,1855,4177,0.042,,,
United Arab Emirates,11/29/2021,21819344,,8933959,2995028,9518,17556,218.39,,89.42,29.98,1757,3638,0.036,,,
United Arab Emirates,11/30/2021,21845924,,8941872,3013695,26580,16130,218.65,,89.5,30.16,1614,1404,0.014,,,
United Arab Emirates,12/1/2021,21870668,,8949784,3030527,24744,18173,218.9,,89.58,30.33,1819,866,0.009,,,
United Arab Emirates,12/2/2021,,,,,,18427,,,,,1844,186,0.002,,,
United Arab Emirates,12/3/2021,,,,,,17812,,,,,1783,186,0.002,,,
United Arab Emirates,12/4/2021,,,,,,17744,,,,,1776,186,0.002,,,
United Arab Emirates,12/5/2021,,,,,,17483,,,,,1750,186,0.002,,,
United Arab Emirates,12/6/2021,21947593,,8964619,3092617,,18321,219.67,,89.73,30.95,1834,186,0.002,,,
United Arab Emirates,12/7/2021,21987090,,8974510,3122223,39497,20167,220.07,,89.83,31.25,2018,186,0.002,,,
United Arab Emirates,12/8/2021,22021926,,8982422,3149147,34836,21608,220.42,,89.9,31.52,2163,186,0.002,,,
United Arab Emirates,12/9/2021,22054907,,8990334,3174216,32981,24122,220.75,,89.98,31.77,2414,186,0.002,,,
United Arab Emirates,12/10/2021,22088134,,9000225,3197552,33227,26671,221.08,,90.08,32,2669,186,0.002,,,
United Arab Emirates,12/11/2021,22124896,,9010183,3224281,36762,29725,221.45,,90.18,32.27,2975,186,0.002,,,
United Arab Emirates,12/12/2021,22146899,,9010283,3246075,22003,30670,221.67,,90.18,32.49,3070,186,0.002,,,
United Arab Emirates,12/13/2021,22166754,,,3255977,19855,31309,221.87,,,32.59,3134,186,0.002,,,
United Arab Emirates,12/14/2021,22181292,,9020082,3270769,14538,27743,222.01,,90.28,32.74,2777,186,0.002,,,
United Arab Emirates,12/15/2021,,,,,,25874,,,,,2590,186,0.002,,,
United Arab Emirates,12/16/2021,,,,,,24270,,,,,2429,186,0.002,,,
United Arab Emirates,12/17/2021,,,,,,22631,,,,,2265,186,0.002,,,
United Arab Emirates,12/18/2021,,,,,,20487,,,,,2051,186,0.002,,,
United Arab Emirates,12/19/2021,,,,,,20451,,,,,2047,186,0.002,,,
United Arab Emirates,12/20/2021,,,,,,20722,,,,,2074,186,0.002,,,
United Arab Emirates,12/21/2021,,,,,,21753,,,,,2177,186,0.002,,,
United Arab Emirates,12/22/2021,,,,,,21753,,,,,2177,186,0.002,,,
United Arab Emirates,12/23/2021,22377069,,,3427030,,21753,223.97,,,34.3,2177,186,0.002,,,
United Arab Emirates,12/24/2021,22406584,,9059559,3456677,29515,22862,224.27,,90.68,34.6,2288,186,0.002,,,
United Arab Emirates,12/25/2021,,,,,,23618,,,,,2364,186,0.002,,,
United Arab Emirates,12/26/2021,,,,,,24373,,,,,2439,186,0.002,,,
United Arab Emirates,12/27/2021,,,,,,25129,,,,,2515,186,0.002,,,
United Arab Emirates,12/28/2021,,,,,,25885,,,,,2591,186,0.002,,,
United Arab Emirates,12/29/2021,,,,,,26640,,,,,2666,186,0.002,,,
United Arab Emirates,12/30/2021,,,,,,27396,,,,,2742,186,0.002,,,
United Arab Emirates,12/31/2021,,,,,,27043,,,,,2707,186,0.002,,,
United Arab Emirates,1/1/2022,,,,,,27043,,,,,2707,186,0.002,,,
United Arab Emirates,1/2/2022,,,,,,27043,,,,,2707,186,0.002,,,
United Arab Emirates,1/3/2022,22677013,,9119071,3667409,,27043,226.97,,91.27,36.71,2707,186,0.002,,,
United Arab Emirates,1/4/2022,22695834,,9119083,3686206,18821,25868,227.16,,91.27,36.89,2589,186,0.002,,,
United Arab Emirates,1/5/2022,22725714,,9128660,3706849,29880,26274,227.46,,91.37,37.1,2630,186,0.002,,,
United Arab Emirates,1/6/2022,22762474,,9138617,3733579,36760,27662,227.83,,91.47,37.37,2769,186,0.002,,,
United Arab Emirates,1/7/2022,22796848,,,3757439,34374,28709,228.17,,,37.61,2873,186,0.002,,,
United Arab Emirates,1/8/2022,22832903,,9148590,3793945,36055,29997,228.53,,91.57,37.97,3002,186,0.002,,,
United Arab Emirates,1/9/2022,,,,,,29297,,,,,2932,186,0.002,,,
United Arab Emirates,1/10/2022,22877196,,9158395,3828526,,28598,228.98,,91.67,38.32,2862,186,0.002,,,
United Arab Emirates,1/11/2022,22895785,9890188,9168204,3837393,18589,28564,229.16,98.99,91.76,38.41,2859,186,0.002,,,
United Arab Emirates,1/12/2022,22929333,,9178459,3860293,33548,29088,229.5,,91.87,38.64,2911,159,0.002,,,
United Arab Emirates,1/13/2022,22972257,,9188112,3893820,42924,29969,229.93,,91.96,38.97,3000,133,0.001,,,
United Arab Emirates,1/14/2022,22985689,,9188341,3906776,13432,26977,230.06,,91.97,39.1,2700,106,0.001,,,
United Arab Emirates,1/15/2022,,,,,,26473,,,,,2650,80,0.001,,,
United Arab Emirates,1/16/2022,,,,,,27956,,,,,2798,53,0.001,,,
United Arab Emirates,1/17/2022,23083264,,9207986,3984853,,29438,231.04,,92.16,39.88,2946,27,0,,,
United Arab Emirates,1/18/2022,23101352,,,3992814,18088,29367,231.22,,,39.96,2939,0,0,,,
United Arab Emirates,1/19/2022,23116474,,9217710,4008517,15122,26734,231.37,,92.26,40.12,2676,0,0,,,
United Arab Emirates,1/20/2022,23176828,,9227610,4058961,60354,29224,231.98,,92.36,40.63,2925,0,0,,,
United Arab Emirates,1/21/2022,,,,,,32934,,,,,3296,0,0,,,
United Arab Emirates,1/22/2022,23255620,,9247652,4117431,,33915,232.76,,92.56,41.21,3395,0,0,,,
United Arab Emirates,1/23/2022,23288395,,,4140203,32775,33951,233.09,,,41.44,3398,0,0,,,
United Arab Emirates,1/24/2022,23314584,,9257392,4166816,26189,33046,233.35,,92.66,41.71,3308,0,0,,,
United Arab Emirates,1/25/2022,23341328,,9257408,4193527,26744,34282,233.62,,92.66,41.97,3431,0,0,,,
United Arab Emirates,1/26/2022,23380635,,9267198,4223151,39307,37737,234.02,,92.75,42.27,3777,0,0,,,
United Arab Emirates,1/27/2022,23420591,,9277244,4252895,39956,34823,234.41,,92.86,42.57,3485,0,0,,,
United Arab Emirates,1/28/2022,23452398,,9287197,4274682,31807,33739,234.73,,92.95,42.78,3377,0,0,,,
United Arab Emirates,1/29/2022,23488589,,9296928,4301312,36191,33281,235.1,,93.05,43.05,3331,0,0,,,
United Arab Emirates,1/30/2022,23502501,,9296954,4315171,13912,30587,235.23,,93.05,43.19,3061,0,0,,,
United Arab Emirates,1/31/2022,,,,,,30729,,,,,3076,0,0,,,
United Arab Emirates,2/1/2022,,,,,,30792,,,,,3082,0,0,,,
United Arab Emirates,2/2/2022,23584056,,9326804,4366685,,29060,236.05,,93.35,43.71,2909,0,0,,,
United Arab Emirates,2/3/2022,23612543,,9336617,4385441,28487,27422,236.34,,93.45,43.89,2745,0,0,,,
United Arab Emirates,2/4/2022,23644754,,9346339,4408109,32211,27479,236.66,,93.55,44.12,2750,0,0,,,
United Arab Emirates,2/5/2022,23673464,,9346350,4436796,28710,26411,236.95,,93.55,44.41,2643,0,0,,,
United Arab Emirates,2/6/2022,23695682,,,4448751,22218,27597,237.17,,,44.53,2762,0,0,,,
United Arab Emirates,2/7/2022,23710390,,9356371,4463563,14708,25815,237.32,,93.65,44.68,2584,0,0,,,
United Arab Emirates,2/8/2022,23730752,,9366101,4474365,20362,24840,237.52,,93.74,44.78,2486,0,0,,,
United Arab Emirates,2/9/2022,23755550,,,4489214,24798,24499,237.77,,,44.93,2452,0,0,,,
United Arab Emirates,2/10/2022,23781095,,9375953,4514897,25545,24079,238.02,,93.84,45.19,2410,0,0,,,
United Arab Emirates,2/11/2022,23807035,,9385932,,25940,23183,238.28,,93.94,,2320,0,0,,,
United Arab Emirates,2/12/2022,23815315,,9395967,4528856,8280,20264,238.37,,94.04,45.33,2028,0,0,,,
United Arab Emirates,2/13/2022,23849814,,9405811,4553560,34499,22019,238.71,,94.14,45.58,2204,0,0,,,
United Arab Emirates,2/14/2022,23855770,,9405820,4559498,5956,20769,238.77,,94.14,45.64,2079,0,0,,,
United Arab Emirates,2/15/2022,23881698,,9405904,4585254,25928,21564,239.03,,94.14,45.89,2158,0,0,,,
United Arab Emirates,2/16/2022,23911863,,9415599,4605929,30165,22330,239.33,,94.24,46.1,2235,0,0,,,
United Arab Emirates,2/17/2022,23930731,,9425519,4614845,18868,21377,239.52,,94.34,46.19,2140,0,0,,,
United Arab Emirates,2/18/2022,,,,,,20752,,,,,2077,0,0,,,
United Arab Emirates,2/19/2022,23973860,9890206,9435257,4648397,,22649,239.95,98.99,94.44,46.53,2267,0,0,,,
United Arab Emirates,2/20/2022,23992173,,9445348,4656408,18313,20337,240.14,,94.54,46.61,2036,2,0,,,
United Arab Emirates,2/21/2022,24004178,,9445402,4668303,12005,21201,240.26,,94.54,46.72,2122,3,0,,,
United Arab Emirates,2/22/2022,24021213,,9445489,4685160,17035,19931,240.43,,94.54,46.89,1995,5,0,,,
United Arab Emirates,2/23/2022,24040740,,9455279,4695001,19527,18411,240.62,,94.64,46.99,1843,6,0,,,
United Arab Emirates,2/24/2022,24062090,,9465009,4706790,21350,18766,240.84,,94.73,47.11,1878,7,0,,,
United Arab Emirates,2/25/2022,24079969,,9465039,4724607,17879,18239,241.01,,94.73,47.29,1826,9,0,,,
United Arab Emirates,2/26/2022,24090450,,,4724723,10481,16656,241.12,,,47.29,1667,10,0,,,
United Arab Emirates,2/27/2022,24105222,,9475136,4739547,14772,16150,241.27,,94.84,47.44,1616,10,0,,,
United Arab Emirates,2/28/2022,24119061,,9485024,4743501,13839,16412,241.41,,94.93,47.48,1643,10,0,,,
United Arab Emirates,3/1/2022,24144931,,9485085,,25870,17674,241.66,,94.94,,1769,10,0,,,
United Arab Emirates,3/2/2022,24163618,,,4768237,18687,17554,241.85,,,47.72,1757,10,0,,,
United Arab Emirates,3/3/2022,,,,,,15687,,,,,1570,10,0,,,
United Arab Emirates,3/4/2022,24180184,,9504727,4785002,,14316,242.02,,95.13,47.89,1433,10,0,,,
United Arab Emirates,3/5/2022,24200694,9890349,9514515,4795830,20510,15749,242.22,98.99,95.23,48,1576,10,0,,,
United Arab Emirates,3/6/2022,24222001,,,4806816,21307,16683,242.44,,,48.11,1670,9,0,,,
United Arab Emirates,3/7/2022,,,,,,16153,,,,,1617,8,0,,,
United Arab Emirates,3/8/2022,24242263,9890361,9534308,4817594,,13905,242.64,98.99,95.43,48.22,1392,8,0,,,
