location,date,daily_vaccinations,daily_vaccinations_per_100
Gibraltar,1/10/2021,,
Gibraltar,1/11/2021,1025,30424
Gibraltar,1/12/2021,1040,30869
Gibraltar,1/13/2021,986,29266
Gibraltar,1/14/2021,959,28465
Gibraltar,1/15/2021,943,27990
Gibraltar,1/16/2021,904,26832
Gibraltar,1/17/2021,775,23003
Gibraltar,1/18/2021,713,21163
Gibraltar,1/19/2021,645,19145
Gibraltar,1/20/2021,520,15434
Gibraltar,1/21/2021,527,15642
Gibraltar,1/22/2021,535,15880
Gibraltar,1/23/2021,566,16800
Gibraltar,1/24/2021,642,19056
Gibraltar,1/25/2021,586,17393
Gibraltar,1/26/2021,579,17186
Gibraltar,1/27/2021,656,19471
Gibraltar,1/28/2021,626,18581
Gibraltar,1/29/2021,570,16918
Gibraltar,1/30/2021,437,12971
Gibraltar,1/31/2021,421,12496
Gibraltar,2/1/2021,537,15939
Gibraltar,2/2/2021,617,18313
Gibraltar,2/3/2021,653,19382
Gibraltar,2/4/2021,694,20599
Gibraltar,2/5/2021,773,22944
Gibraltar,2/6/2021,887,26328
Gibraltar,2/7/2021,827,24547
Gibraltar,2/8/2021,821,24369
Gibraltar,2/9/2021,804,23864
Gibraltar,2/10/2021,832,24695
Gibraltar,2/11/2021,845,25081
Gibraltar,2/12/2021,846,25111
Gibraltar,2/13/2021,888,26357
Gibraltar,2/14/2021,981,29118
Gibraltar,2/15/2021,905,26862
Gibraltar,2/16/2021,859,25496
Gibraltar,2/17/2021,813,24131
Gibraltar,2/18/2021,811,24072
Gibraltar,2/19/2021,734,21786
Gibraltar,2/20/2021,578,17156
Gibraltar,2/21/2021,642,19056
Gibraltar,2/22/2021,750,22261
Gibraltar,2/23/2021,810,24042
Gibraltar,2/24/2021,812,24101
Gibraltar,2/25/2021,832,24695
Gibraltar,2/26/2021,937,27812
Gibraltar,2/27/2021,1068,31700
Gibraltar,2/28/2021,911,27040
Gibraltar,3/1/2021,918,27248
Gibraltar,3/2/2021,945,28049
Gibraltar,3/3/2021,1040,30869
Gibraltar,3/4/2021,960,28494
Gibraltar,3/5/2021,951,28227
Gibraltar,3/6/2021,986,29266
Gibraltar,3/7/2021,986,29266
Gibraltar,3/8/2021,883,26209
Gibraltar,3/9/2021,796,23626
Gibraltar,3/10/2021,606,17987
Gibraltar,3/11/2021,596,17690
Gibraltar,3/12/2021,513,15227
Gibraltar,3/13/2021,346,10270
Gibraltar,3/14/2021,500,14841
Gibraltar,3/15/2021,579,17186
Gibraltar,3/16/2021,633,18788
Gibraltar,3/17/2021,727,21578
Gibraltar,3/18/2021,811,24072
Gibraltar,3/19/2021,885,26268
Gibraltar,3/20/2021,1005,29830
Gibraltar,3/21/2021,852,25289
Gibraltar,3/22/2021,795,23597
Gibraltar,3/23/2021,751,22291
Gibraltar,3/24/2021,842,24992
Gibraltar,3/25/2021,768,22795
Gibraltar,3/26/2021,759,22528
Gibraltar,3/27/2021,798,23686
Gibraltar,3/28/2021,819,24309
Gibraltar,3/29/2021,741,21994
Gibraltar,3/30/2021,730,21668
Gibraltar,3/31/2021,627,18610
Gibraltar,4/1/2021,624,18521
Gibraltar,4/2/2021,500,14841
Gibraltar,4/3/2021,376,11160
Gibraltar,4/4/2021,389,11546
Gibraltar,4/5/2021,402,11932
Gibraltar,4/6/2021,343,10181
Gibraltar,4/7/2021,297,8815
Gibraltar,4/8/2021,253,7509
Gibraltar,4/9/2021,267,7925
Gibraltar,4/10/2021,327,9706
Gibraltar,4/11/2021,385,11427
Gibraltar,4/12/2021,438,13001
Gibraltar,4/13/2021,587,17423
Gibraltar,4/14/2021,554,16444
Gibraltar,4/15/2021,508,15078
Gibraltar,4/16/2021,482,14306
Gibraltar,4/17/2021,412,12229
Gibraltar,4/18/2021,342,10151
Gibraltar,4/19/2021,286,8489
Gibraltar,4/20/2021,134,3977
Gibraltar,4/21/2021,164,4868
Gibraltar,4/22/2021,249,7391
Gibraltar,4/23/2021,254,7539
Gibraltar,4/24/2021,259,7688
Gibraltar,4/25/2021,264,7836
Gibraltar,4/26/2021,260,7717
Gibraltar,4/27/2021,341,10121
Gibraltar,4/28/2021,367,10893
Gibraltar,4/29/2021,337,10003
Gibraltar,4/30/2021,421,12496
Gibraltar,5/1/2021,421,12496
Gibraltar,5/2/2021,421,12496
Gibraltar,5/3/2021,421,12496
Gibraltar,5/4/2021,337,10003
Gibraltar,5/5/2021,392,11635
Gibraltar,5/6/2021,449,13327
Gibraltar,5/7/2021,449,13327
Gibraltar,5/8/2021,426,12644
Gibraltar,5/9/2021,403,11962
Gibraltar,5/10/2021,380,11279
Gibraltar,5/11/2021,357,10596
Gibraltar,5/12/2021,250,7420
Gibraltar,5/13/2021,141,4185
Gibraltar,5/14/2021,50,1484
Gibraltar,5/15/2021,66,1959
Gibraltar,5/16/2021,81,2404
Gibraltar,5/17/2021,97,2879
Gibraltar,5/18/2021,113,3354
Gibraltar,5/19/2021,219,6500
Gibraltar,5/20/2021,225,6678
Gibraltar,5/21/2021,215,6382
Gibraltar,5/22/2021,206,6114
Gibraltar,5/23/2021,200,5936
Gibraltar,5/24/2021,194,5758
Gibraltar,5/25/2021,189,5610
Gibraltar,5/26/2021,92,2731
Gibraltar,5/27/2021,96,2849
Gibraltar,5/28/2021,160,4749
Gibraltar,5/29/2021,190,5639
Gibraltar,5/30/2021,182,5402
Gibraltar,5/31/2021,174,5165
Gibraltar,6/1/2021,166,4927
Gibraltar,6/2/2021,159,4719
Gibraltar,6/3/2021,145,4304
Gibraltar,6/4/2021,71,2107
Gibraltar,6/5/2021,31,920
Gibraltar,6/6/2021,25,742
Gibraltar,6/7/2021,18,534
Gibraltar,6/8/2021,12,356
Gibraltar,6/9/2021,8,237
Gibraltar,6/10/2021,10,297
Gibraltar,6/11/2021,12,356
Gibraltar,6/12/2021,14,416
Gibraltar,6/13/2021,15,445
Gibraltar,6/14/2021,16,475
Gibraltar,6/15/2021,18,534
Gibraltar,6/16/2021,17,505
Gibraltar,6/17/2021,17,505
Gibraltar,6/18/2021,16,475
Gibraltar,6/19/2021,15,445
Gibraltar,6/20/2021,15,445
Gibraltar,6/21/2021,15,445
Gibraltar,6/22/2021,17,505
Gibraltar,6/23/2021,18,534
Gibraltar,6/24/2021,20,594
Gibraltar,6/25/2021,19,564
Gibraltar,6/26/2021,18,534
Gibraltar,6/27/2021,17,505
Gibraltar,6/28/2021,16,475
Gibraltar,6/29/2021,13,386
Gibraltar,6/30/2021,11,326
Gibraltar,7/1/2021,9,267
Gibraltar,7/2/2021,10,297
Gibraltar,7/3/2021,10,297
Gibraltar,7/4/2021,10,297
Gibraltar,7/5/2021,11,326
Gibraltar,7/6/2021,11,326
Gibraltar,7/7/2021,10,297
Gibraltar,7/8/2021,10,297
Gibraltar,7/9/2021,10,297
Gibraltar,7/10/2021,10,297
Gibraltar,7/11/2021,10,297
Gibraltar,7/12/2021,10,297
Gibraltar,7/13/2021,10,297
Gibraltar,7/14/2021,15,445
Gibraltar,7/15/2021,22,653
Gibraltar,7/16/2021,22,653
Gibraltar,7/17/2021,21,623
Gibraltar,7/18/2021,21,623
Gibraltar,7/19/2021,21,623
Gibraltar,7/20/2021,20,594
Gibraltar,7/21/2021,14,416
Gibraltar,7/22/2021,7,208
Gibraltar,7/23/2021,8,237
Gibraltar,7/24/2021,7,208
Gibraltar,7/25/2021,6,178
Gibraltar,7/26/2021,6,178
Gibraltar,7/27/2021,6,178
Gibraltar,7/28/2021,7,208
Gibraltar,7/29/2021,7,208
Gibraltar,7/30/2021,9,267
Gibraltar,7/31/2021,9,267
Gibraltar,8/1/2021,9,267
Gibraltar,8/2/2021,10,297
Gibraltar,8/3/2021,9,267
Gibraltar,8/4/2021,8,237
Gibraltar,8/5/2021,7,208
Gibraltar,8/6/2021,6,178
Gibraltar,8/7/2021,7,208
Gibraltar,8/8/2021,6,178
Gibraltar,8/9/2021,6,178
Gibraltar,8/10/2021,5,148
Gibraltar,8/11/2021,6,178
Gibraltar,8/12/2021,6,178
Gibraltar,8/13/2021,5,148
Gibraltar,8/14/2021,4,119
Gibraltar,8/15/2021,5,148
Gibraltar,8/16/2021,7,208
Gibraltar,8/17/2021,8,237
Gibraltar,8/18/2021,9,267
Gibraltar,8/19/2021,11,326
Gibraltar,8/20/2021,19,564
Gibraltar,8/21/2021,21,623
Gibraltar,8/22/2021,21,623
Gibraltar,8/23/2021,21,623
Gibraltar,8/24/2021,21,623
Gibraltar,8/25/2021,23,683
Gibraltar,8/26/2021,24,712
Gibraltar,8/27/2021,21,623
Gibraltar,8/28/2021,24,712
Gibraltar,8/29/2021,24,712
Gibraltar,8/30/2021,23,683
Gibraltar,8/31/2021,23,683
Gibraltar,9/1/2021,20,594
Gibraltar,9/2/2021,21,623
Gibraltar,9/3/2021,21,623
Gibraltar,9/4/2021,17,505
Gibraltar,9/5/2021,18,534
Gibraltar,9/6/2021,19,564
Gibraltar,9/7/2021,19,564
Gibraltar,9/8/2021,20,594
Gibraltar,9/9/2021,21,623
Gibraltar,9/10/2021,19,564
Gibraltar,9/11/2021,20,594
Gibraltar,9/12/2021,21,623
Gibraltar,9/13/2021,22,653
Gibraltar,9/14/2021,22,653
Gibraltar,9/15/2021,23,683
Gibraltar,9/16/2021,23,683
Gibraltar,9/17/2021,25,742
Gibraltar,9/18/2021,27,801
Gibraltar,9/19/2021,26,772
Gibraltar,9/20/2021,24,712
Gibraltar,9/21/2021,23,683
Gibraltar,9/22/2021,27,801
Gibraltar,9/23/2021,27,801
Gibraltar,9/24/2021,29,861
Gibraltar,9/25/2021,28,831
Gibraltar,9/26/2021,28,831
Gibraltar,9/27/2021,28,831
Gibraltar,9/28/2021,27,801
Gibraltar,9/29/2021,24,712
Gibraltar,9/30/2021,21,623
Gibraltar,10/1/2021,16,475
Gibraltar,10/2/2021,13,386
Gibraltar,10/3/2021,12,356
Gibraltar,10/4/2021,11,326
Gibraltar,10/5/2021,10,297
Gibraltar,10/6/2021,15,445
Gibraltar,10/7/2021,28,831
Gibraltar,10/8/2021,46,1365
Gibraltar,10/9/2021,48,1425
Gibraltar,10/10/2021,48,1425
Gibraltar,10/11/2021,47,1395
Gibraltar,10/12/2021,142,4215
Gibraltar,10/13/2021,204,6055
Gibraltar,10/14/2021,249,7391
Gibraltar,10/15/2021,294,8726
Gibraltar,10/16/2021,368,10923
Gibraltar,10/17/2021,445,13208
Gibraltar,10/18/2021,504,14959
Gibraltar,10/19/2021,462,13713
Gibraltar,10/20/2021,485,14396
Gibraltar,10/21/2021,507,15049
Gibraltar,10/22/2021,516,15316
Gibraltar,10/23/2021,495,14692
Gibraltar,10/24/2021,523,15523
Gibraltar,10/25/2021,559,16592
Gibraltar,10/26/2021,548,16265
Gibraltar,10/27/2021,507,15049
Gibraltar,10/28/2021,477,14158
Gibraltar,10/29/2021,454,13475
Gibraltar,10/30/2021,443,13149
Gibraltar,10/31/2021,386,11457
Gibraltar,11/1/2021,337,10003
Gibraltar,11/2/2021,342,10151
Gibraltar,11/3/2021,338,10032
Gibraltar,11/4/2021,332,9854
Gibraltar,11/5/2021,328,9736
Gibraltar,11/6/2021,329,9765
Gibraltar,11/7/2021,311,9231
Gibraltar,11/8/2021,293,8697
Gibraltar,11/9/2021,276,8192
Gibraltar,11/10/2021,267,7925
Gibraltar,11/11/2021,220,6530
Gibraltar,11/12/2021,243,7213
Gibraltar,11/13/2021,236,7005
Gibraltar,11/14/2021,349,10359
Gibraltar,11/15/2021,320,9498
Gibraltar,11/16/2021,354,10507
Gibraltar,11/17/2021,383,11368
Gibraltar,11/18/2021,450,13357
Gibraltar,11/19/2021,426,12644
Gibraltar,11/20/2021,429,12733
Gibraltar,11/21/2021,286,8489
Gibraltar,11/22/2021,312,9261
Gibraltar,11/23/2021,275,8162
Gibraltar,11/24/2021,265,7866
Gibraltar,11/25/2021,255,7569
Gibraltar,11/26/2021,265,7866
Gibraltar,11/27/2021,226,6708
Gibraltar,11/28/2021,246,7302
Gibraltar,11/29/2021,241,7153
Gibraltar,11/30/2021,235,6975
Gibraltar,12/1/2021,233,6916
Gibraltar,12/2/2021,262,7777
Gibraltar,12/3/2021,308,9142
Gibraltar,12/4/2021,399,11843
Gibraltar,12/5/2021,420,12466
Gibraltar,12/6/2021,440,13060
Gibraltar,12/7/2021,460,13653
Gibraltar,12/8/2021,534,15850
Gibraltar,12/9/2021,533,15820
Gibraltar,12/10/2021,515,15286
Gibraltar,12/11/2021,489,14514
Gibraltar,12/12/2021,488,14485
Gibraltar,12/13/2021,487,14455
Gibraltar,12/14/2021,486,14425
Gibraltar,12/15/2021,479,14217
Gibraltar,12/16/2021,495,14692
Gibraltar,12/17/2021,484,14366
Gibraltar,12/18/2021,494,14663
Gibraltar,12/19/2021,485,14396
Gibraltar,12/20/2021,476,14128
Gibraltar,12/21/2021,468,13891
Gibraltar,12/22/2021,377,11190
Gibraltar,12/23/2021,300,8904
Gibraltar,12/24/2021,228,6767
Gibraltar,12/25/2021,155,4601
Gibraltar,12/26/2021,126,3740
Gibraltar,12/27/2021,97,2879
Gibraltar,12/28/2021,68,2018
Gibraltar,12/29/2021,39,1158
Gibraltar,12/30/2021,17,505
Gibraltar,12/31/2021,17,505
Gibraltar,1/1/2022,17,505
Gibraltar,1/2/2022,17,505
Gibraltar,1/3/2022,17,505
Gibraltar,1/4/2022,17,505
Gibraltar,1/5/2022,17,505
Gibraltar,1/6/2022,17,505
Gibraltar,1/7/2022,17,505
Gibraltar,1/8/2022,27,801
Gibraltar,1/9/2022,36,1069
Gibraltar,1/10/2022,46,1365
Gibraltar,1/11/2022,55,1632
Gibraltar,1/12/2022,81,2404
Gibraltar,1/13/2022,102,3028
Gibraltar,1/14/2022,124,3681
Gibraltar,1/15/2022,135,4007
Gibraltar,1/16/2022,134,3977
Gibraltar,1/17/2022,132,3918
Gibraltar,1/18/2022,131,3888
Gibraltar,1/19/2022,126,3740
Gibraltar,1/20/2022,127,3770
Gibraltar,1/21/2022,107,3176
Gibraltar,1/22/2022,118,3502
Gibraltar,1/23/2022,119,3532
Gibraltar,1/24/2022,121,3591
Gibraltar,1/25/2022,122,3621
Gibraltar,1/26/2022,110,3265
Gibraltar,1/27/2022,98,2909
Gibraltar,1/28/2022,114,3384
Gibraltar,1/29/2022,95,2820
Gibraltar,1/30/2022,89,2642
Gibraltar,1/31/2022,83,2464
Gibraltar,2/1/2022,77,2285
Gibraltar,2/2/2022,80,2375
Gibraltar,2/3/2022,81,2404
Gibraltar,2/4/2022,72,2137
Gibraltar,2/5/2022,68,2018
Gibraltar,2/6/2022,75,2226
Gibraltar,2/7/2022,82,2434
Gibraltar,2/8/2022,88,2612
Gibraltar,2/9/2022,87,2582
Gibraltar,2/10/2022,88,2612
Gibraltar,2/11/2022,92,2731
Gibraltar,2/12/2022,83,2464
Gibraltar,2/13/2022,74,2196
Gibraltar,2/14/2022,65,1929
Gibraltar,2/15/2022,57,1692
Gibraltar,2/16/2022,74,2196
Gibraltar,2/17/2022,66,1959
Gibraltar,2/18/2022,61,1811
Gibraltar,2/19/2022,65,1929
Gibraltar,2/20/2022,69,2048
Gibraltar,2/21/2022,73,2167
Gibraltar,2/22/2022,76,2256
Gibraltar,2/23/2022,53,1573
Gibraltar,2/24/2022,61,1811
Gibraltar,2/25/2022,58,1722
Gibraltar,2/26/2022,53,1573
Gibraltar,2/27/2022,49,1454
Gibraltar,2/28/2022,51,1514
Gibraltar,3/1/2022,53,1573
Gibraltar,3/2/2022,51,1514
Gibraltar,3/3/2022,43,1276
Gibraltar,3/4/2022,40,1187
Maldives,2/2/2021,,
Maldives,2/3/2021,698,1284
Maldives,2/4/2021,1162,2138
Maldives,2/5/2021,1130,2079
Maldives,2/6/2021,1494,2748
Maldives,2/7/2021,1774,3263
Maldives,2/8/2021,2009,3696
Maldives,2/9/2021,2196,4040
Maldives,2/10/2021,2655,4884
Maldives,2/11/2021,3160,5813
Maldives,2/12/2021,3300,6070
Maldives,2/13/2021,3750,6898
Maldives,2/14/2021,4120,7579
Maldives,2/15/2021,4412,8116
Maldives,2/16/2021,4828,8881
Maldives,2/17/2021,5151,9475
Maldives,2/18/2021,5532,10176
Maldives,2/19/2021,5240,9639
Maldives,2/20/2021,5272,9698
Maldives,2/21/2021,5203,9571
Maldives,2/22/2021,5192,9551
Maldives,2/23/2021,5009,9214
Maldives,2/24/2021,4950,9106
Maldives,2/25/2021,4895,9004
Maldives,2/26/2021,5053,9295
Maldives,2/27/2021,5069,9325
Maldives,2/28/2021,5200,9566
Maldives,3/1/2021,5279,9711
Maldives,3/2/2021,5508,10132
Maldives,3/3/2021,5508,10132
Maldives,3/4/2021,5545,10200
Maldives,3/5/2021,5630,10356
Maldives,3/6/2021,5754,10585
Maldives,3/7/2021,5747,10572
Maldives,3/8/2021,5814,10695
Maldives,3/9/2021,6001,11039
Maldives,3/10/2021,6576,12097
Maldives,3/11/2021,7115,13088
Maldives,3/12/2021,7087,13037
Maldives,3/13/2021,7491,13780
Maldives,3/14/2021,7782,14315
Maldives,3/15/2021,7843,14427
Maldives,3/16/2021,6973,12827
Maldives,3/17/2021,5771,10616
Maldives,3/18/2021,4381,8059
Maldives,3/19/2021,4230,7781
Maldives,3/20/2021,2920,5371
Maldives,3/21/2021,1828,3363
Maldives,3/22/2021,1151,2117
Maldives,3/23/2021,1212,2229
Maldives,3/24/2021,1304,2399
Maldives,3/25/2021,1404,2583
Maldives,3/26/2021,1379,2537
Maldives,3/27/2021,1641,3019
Maldives,3/28/2021,1895,3486
Maldives,3/29/2021,1872,3444
Maldives,3/30/2021,1816,3341
Maldives,3/31/2021,1820,3348
Maldives,4/1/2021,1907,3508
Maldives,4/2/2021,1919,3530
Maldives,4/3/2021,2191,4030
Maldives,4/4/2021,2637,4851
Maldives,4/5/2021,3288,6048
Maldives,4/6/2021,4021,7397
Maldives,4/7/2021,4734,8708
Maldives,4/8/2021,5630,10356
Maldives,4/9/2021,5971,10984
Maldives,4/10/2021,5469,10060
Maldives,4/11/2021,5823,10712
Maldives,4/12/2021,6020,11074
Maldives,4/13/2021,5366,9871
Maldives,4/14/2021,4700,8646
Maldives,4/15/2021,4552,8373
Maldives,4/16/2021,4348,7998
Maldives,4/17/2021,5111,9402
Maldives,4/18/2021,5182,9532
Maldives,4/19/2021,5185,9538
Maldives,4/20/2021,5856,10772
Maldives,4/21/2021,6572,12089
Maldives,4/22/2021,6665,12260
Maldives,4/23/2021,6805,12518
Maldives,4/24/2021,6945,12775
Maldives,4/25/2021,6796,12501
Maldives,4/26/2021,6679,12286
Maldives,4/27/2021,6357,11694
Maldives,4/28/2021,6119,11256
Maldives,4/29/2021,5596,10294
Maldives,4/30/2021,5388,9911
Maldives,5/1/2021,4486,8252
Maldives,5/2/2021,4413,8118
Maldives,5/3/2021,4365,8030
Maldives,5/4/2021,4578,8421
Maldives,5/5/2021,4454,8193
Maldives,5/6/2021,4193,7713
Maldives,5/7/2021,4303,7915
Maldives,5/8/2021,4606,8473
Maldives,5/9/2021,4158,7649
Maldives,5/10/2021,3611,6643
Maldives,5/11/2021,3152,5798
Maldives,5/12/2021,2684,4937
Maldives,5/13/2021,2278,4190
Maldives,5/14/2021,2158,3970
Maldives,5/15/2021,2014,3705
Maldives,5/16/2021,1925,3541
Maldives,5/17/2021,1956,3598
Maldives,5/18/2021,1835,3376
Maldives,5/19/2021,1911,3515
Maldives,5/20/2021,2067,3802
Maldives,5/21/2021,2202,4051
Maldives,5/22/2021,2281,4196
Maldives,5/23/2021,2257,4152
Maldives,5/24/2021,2163,3979
Maldives,5/25/2021,2222,4087
Maldives,5/26/2021,2128,3914
Maldives,5/27/2021,2150,3955
Maldives,5/28/2021,1955,3596
Maldives,5/29/2021,1825,3357
Maldives,5/30/2021,1686,3101
Maldives,5/31/2021,1597,2938
Maldives,6/1/2021,1416,2605
Maldives,6/2/2021,1443,2654
Maldives,6/3/2021,1378,2535
Maldives,6/4/2021,1370,2520
Maldives,6/5/2021,1340,2465
Maldives,6/6/2021,1303,2397
Maldives,6/7/2021,1274,2344
Maldives,6/8/2021,1273,2342
Maldives,6/9/2021,1211,2228
Maldives,6/10/2021,1152,2119
Maldives,6/11/2021,1213,2231
Maldives,6/12/2021,1119,2058
Maldives,6/13/2021,1042,1917
Maldives,6/14/2021,971,1786
Maldives,6/15/2021,942,1733
Maldives,6/16/2021,923,1698
Maldives,6/17/2021,894,1645
Maldives,6/18/2021,878,1615
Maldives,6/19/2021,862,1586
Maldives,6/20/2021,848,1560
Maldives,6/21/2021,854,1571
Maldives,6/22/2021,813,1496
Maldives,6/23/2021,803,1477
Maldives,6/24/2021,841,1547
Maldives,6/25/2021,797,1466
Maldives,6/26/2021,875,1610
Maldives,6/27/2021,947,1742
Maldives,6/28/2021,946,1740
Maldives,6/29/2021,941,1731
Maldives,6/30/2021,893,1643
Maldives,7/1/2021,873,1606
Maldives,7/2/2021,875,1610
