Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day
8/24/2021,2467406,47.30%
8/23/2021,2056731,42.20%
8/22/2021,745800,32.00%
8/21/2021,1716439,59.20%
8/20/2021,2460924,50.40%
8/19/2021,2444495,47.90%
8/18/2021,2450516,48.30%
8/17/2021,2432692,47.60%
8/16/2021,2292396,47.50%
8/15/2021,1430620,62.90%
8/14/2021,1718222,60.00%
8/13/2021,2434624,48.50%
8/12/2021,2453353,46.10%
8/11/2021,2480877,47.30%
8/10/2021,2447231,47.60%
8/9/2021,2294279,45.60%
8/8/2021,1333885,53.80%
8/7/2021,1780458,58.90%
8/6/2021,2523944,48.80%
8/5/2021,2534287,46.60%
8/4/2021,2534018,48.20%
8/3/2021,2489064,46.50%
8/2/2021,2338722,45.50%
8/1/2021,1351294,55.20%
7/31/2021,1841007,61.20%
7/30/2021,2562489,49.10%
7/29/2021,2433507,44.50%
7/28/2021,2539760,47.40%
7/27/2021,2493079,46.20%
7/26/2021,2323169,45.10%
7/25/2021,1364830,56.00%
7/24/2021,1852402,60.70%
7/23/2021,2557043,48.10%
7/22/2021,2587338,46.50%
7/21/2021,2509502,44.80%
7/20/2021,2467017,46.70%
7/19/2021,2332473,46.10%
7/18/2021,1405344,64.50%
7/17/2021,1717480,64.90%
7/16/2021,2541195,48.80%
7/15/2021,2586791,47.80%
7/14/2021,2522633,46.00%
7/13/2021,2462643,44.40%
7/12/2021,2249975,42.50%
7/11/2021,1367403,56.10%
7/10/2021,1783921,58.80%
7/9/2021,2322712,43.00%
7/8/2021,2369035,43.10%
7/7/2021,2442092,43.80%
7/6/2021,2306692,42.20%
7/5/2021,1497714,64.70%
7/4/2021,1470325,54.00%
7/3/2021,1543756,59.50%
7/2/2021,2300302,59.00%
7/1/2021,2297059,41.80%
6/30/2021,2350864,45.00%
6/29/2021,2348456,44.00%
6/28/2021,2256926,43.30%
6/27/2021,1561403,51.70%
6/26/2021,1855861,58.20%
6/25/2021,2587425,47.30%
6/24/2021,2557684,45.20%
6/23/2021,2552443,44.00%
6/22/2021,2359521,42.70%
6/21/2021,2268969,41.90%
6/20/2021,1389352,52.90%
6/19/2021,1784312,54.10%
6/18/2021,2576562,46.40%
6/17/2021,2557486,44.90%
6/16/2021,2524189,44.00%
6/15/2021,2474710,44.10%
6/14/2021,2227391,40.80%
6/13/2021,1379959,59.20%
6/12/2021,1775538,55.50%
6/11/2021,2472629,43.30%
6/10/2021,2478619,43.40%
6/9/2021,2390612,40.60%
6/8/2021,2270152,39.40%
6/7/2021,2227613,42.20%
6/6/2021,1363344,52.60%
6/5/2021,1792204,54.80%
