rbt
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
19
0
0
0
0
17
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
11
0
9
0
0
0
0
9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
6
0
0
6
6
0
0
0
0
0
0
0
6
0
5
6
13
0
0
6
11
0
0
0
0
6
6
0
0
0
12
6
6
6
0
0
9
13
19
0
15
5
20
5
23
32
4
30
18
36
26
43
27
28
21
34
21
39
30
24
26
52
50
50
26
64
47
42
41
25
72
57
35
65
38
58
44
72
77
70
60
71
58
76
79
80
91
55
67
60
60
48
82
96
87
69
47
50
72
73
49
72
100
60
42
45
63
46
41
