aba
0
9
12
17
0
16
0
8
0
7
8
20
6
19
16
18
5
11
6
0
5
5
9
4
0
25
18
19
0
8
15
10
0
12
3
9
6
9
18
21
9
8
2
11
21
16
6
15
15
10
13
9
6
12
9
19
24
6
14
14
6
13
2
12
19
14
11
26
12
7
14
6
11
7
6
8
16
12
17
10
9
10
7
10
9
14
15
15
7
13
15
15
15
14
12
15
14
20
14
21
21
14
16
22
22
13
16
13
19
26
19
26
27
24
24
29
18
30
22
18
23
22
22
26
13
20
30
29
23
24
25
14
29
24
22
30
27
26
35
26
27
24
29
24
26
26
26
37
31
30
33
29
36
27
36
25
35
35
36
40
40
41
43
42
42
48
42
35
49
53
41
61
49
47
52
61
59
56
54
50
64
59
58
61
73
73
63
70
68
71
60
53
65
67
53
41
46
53
61
62
74
78
49
56
65
71
87
89
92
84
77
75
100
70
64
68
72
76
